id,created,createdBy,updated,updatedBy,surveyId,categoryId
1,"2024-08-12T12:56:17.000Z",3931,"2024-08-12T12:56:17.000Z",3931,1,83
2,"2024-08-12T12:56:18.000Z",3931,"2024-08-12T12:56:18.000Z",3931,1,84
3,"2024-08-12T12:56:18.000Z",3931,"2024-08-12T12:56:18.000Z",3931,1,85
4,"2024-08-12T12:56:19.000Z",3931,"2024-08-12T12:56:19.000Z",3931,1,86
5,"2024-08-12T12:56:20.000Z",3931,"2024-08-12T12:56:20.000Z",3931,1,87
6,"2024-08-12T13:06:06.000Z",3931,"2024-08-12T13:06:06.000Z",3931,2,38
7,"2024-08-12T13:09:59.000Z",3931,"2024-08-12T13:09:59.000Z",3931,3,38
8,"2024-08-12T13:10:03.000Z",3931,"2024-08-12T13:10:03.000Z",3931,3,39
9,"2024-08-12T13:10:05.000Z",3931,"2024-08-12T13:10:05.000Z",3931,3,40
10,"2024-08-12T13:10:06.000Z",3931,"2024-08-12T13:10:06.000Z",3931,3,41
11,"2024-08-12T13:10:06.000Z",3931,"2024-08-12T13:10:06.000Z",3931,3,42
12,"2024-08-12T13:10:07.000Z",3931,"2024-08-12T13:10:07.000Z",3931,3,43
13,"2024-08-12T13:10:08.000Z",3931,"2024-08-12T13:10:08.000Z",3931,3,44
14,"2024-08-12T13:10:08.000Z",3931,"2024-08-12T13:10:08.000Z",3931,3,45
15,"2024-08-12T13:10:09.000Z",3931,"2024-08-12T13:10:09.000Z",3931,3,46
16,"2024-08-12T13:10:10.000Z",3931,"2024-08-12T13:10:10.000Z",3931,3,47
17,"2024-08-12T13:10:12.000Z",3931,"2024-08-12T13:10:12.000Z",3931,3,48
18,"2024-08-12T13:19:44.000Z",3931,"2024-08-12T13:19:44.000Z",3931,4,25
19,"2024-08-12T13:19:49.000Z",3931,"2024-08-12T13:19:49.000Z",3931,4,27
23,"2024-08-13T05:13:07.000Z",3931,"2024-08-13T05:13:07.000Z",3931,6,43
24,"2024-08-13T05:13:21.000Z",3931,"2024-08-13T05:13:21.000Z",3931,6,44
25,"2024-08-13T05:13:36.000Z",3931,"2024-08-13T05:13:36.000Z",3931,6,45
26,"2024-08-13T05:13:54.000Z",3931,"2024-08-13T05:13:54.000Z",3931,6,46
27,"2024-08-13T12:48:21.000Z",3931,"2024-08-13T12:48:21.000Z",3931,7,30
28,"2024-08-13T12:48:24.000Z",3931,"2024-08-13T12:48:24.000Z",3931,7,32
29,"2024-08-13T12:48:24.000Z",3931,"2024-08-13T12:48:24.000Z",3931,7,33
30,"2024-08-13T12:48:25.000Z",3931,"2024-08-13T12:48:25.000Z",3931,7,7
31,"2024-08-13T12:50:50.000Z",3931,"2024-08-13T12:50:50.000Z",3931,8,10
32,"2024-08-13T12:50:51.000Z",3931,"2024-08-13T12:50:51.000Z",3931,8,11
33,"2024-08-13T12:50:51.000Z",3931,"2024-08-13T12:50:51.000Z",3931,8,13
34,"2024-08-13T12:50:53.000Z",3931,"2024-08-13T12:50:53.000Z",3931,8,15
35,"2024-08-13T12:50:54.000Z",3931,"2024-08-13T12:50:54.000Z",3931,8,17
36,"2024-08-13T12:52:32.000Z",3931,"2024-08-13T12:52:32.000Z",3931,9,19
37,"2024-08-13T12:52:33.000Z",3931,"2024-08-13T12:52:33.000Z",3931,9,21
38,"2024-08-13T12:52:33.000Z",3931,"2024-08-13T12:52:33.000Z",3931,9,23
39,"2024-08-13T12:52:33.000Z",3931,"2024-08-13T12:52:33.000Z",3931,9,26
40,"2024-08-13T12:52:33.000Z",3931,"2024-08-13T12:52:33.000Z",3931,9,28
41,"2024-08-13T12:52:34.000Z",3931,"2024-08-13T12:52:34.000Z",3931,9,29
42,"2024-08-13T12:52:34.000Z",3931,"2024-08-13T12:52:34.000Z",3931,9,31
43,"2024-08-13T12:52:34.000Z",3931,"2024-08-13T12:52:34.000Z",3931,9,34
44,"2024-08-13T12:52:35.000Z",3931,"2024-08-13T12:52:35.000Z",3931,9,35
45,"2024-08-13T12:54:20.000Z",3931,"2024-08-13T12:54:20.000Z",3931,10,36
46,"2024-08-13T12:54:21.000Z",3931,"2024-08-13T12:54:21.000Z",3931,10,37
47,"2024-08-13T12:54:23.000Z",3931,"2024-08-13T12:54:23.000Z",3931,10,2
48,"2024-08-13T12:54:23.000Z",3931,"2024-08-13T12:54:23.000Z",3931,10,3
49,"2024-08-13T12:54:24.000Z",3931,"2024-08-13T12:54:24.000Z",3931,10,4
50,"2024-08-13T12:54:24.000Z",3931,"2024-08-13T12:54:24.000Z",3931,10,5
51,"2024-08-16T11:04:58.000Z",3888,"2024-08-16T11:04:58.000Z",3888,11,49
52,"2024-08-19T05:57:20.000Z",3931,"2024-08-19T05:57:20.000Z",3931,12,50
53,"2024-08-19T05:57:21.000Z",3931,"2024-08-19T05:57:21.000Z",3931,12,53
54,"2024-08-19T05:57:22.000Z",3931,"2024-08-19T05:57:22.000Z",3931,12,54
55,"2024-08-19T05:57:22.000Z",3931,"2024-08-19T05:57:22.000Z",3931,12,55
56,"2024-08-19T05:57:23.000Z",3931,"2024-08-19T05:57:23.000Z",3931,12,51
57,"2024-08-19T05:57:23.000Z",3931,"2024-08-19T05:57:23.000Z",3931,12,52
58,"2024-08-19T09:56:51.000Z",3931,"2024-08-19T09:56:51.000Z",3931,13,56
59,"2024-08-19T09:56:52.000Z",3931,"2024-08-19T09:56:52.000Z",3931,13,57
60,"2024-08-19T09:56:53.000Z",3931,"2024-08-19T09:56:53.000Z",3931,13,58
61,"2024-08-19T09:56:53.000Z",3931,"2024-08-19T09:56:53.000Z",3931,13,59
62,"2024-08-19T09:56:54.000Z",3931,"2024-08-19T09:56:54.000Z",3931,13,60
63,"2024-08-19T09:56:54.000Z",3931,"2024-08-19T09:56:54.000Z",3931,13,61
64,"2024-08-21T05:07:29.000Z",3931,"2024-08-21T05:07:29.000Z",3931,5,1
65,"2024-08-21T05:07:42.000Z",3931,"2024-08-21T05:07:42.000Z",3931,5,6
66,"2024-08-21T05:07:48.000Z",3931,"2024-08-21T05:07:48.000Z",3931,5,8
67,"2024-08-21T05:07:53.000Z",3931,"2024-08-21T05:07:53.000Z",3931,5,9
68,"2024-08-21T05:07:59.000Z",3931,"2024-08-21T05:07:59.000Z",3931,5,12
69,"2024-08-21T05:08:05.000Z",3931,"2024-08-21T05:08:05.000Z",3931,5,14
70,"2024-08-21T05:08:11.000Z",3931,"2024-08-21T05:08:11.000Z",3931,5,16
71,"2024-08-21T05:08:17.000Z",3931,"2024-08-21T05:08:17.000Z",3931,5,18
72,"2024-08-21T05:08:23.000Z",3931,"2024-08-21T05:08:23.000Z",3931,5,20
73,"2024-08-21T05:08:29.000Z",3931,"2024-08-21T05:08:29.000Z",3931,5,22
74,"2024-08-21T05:08:35.000Z",3931,"2024-08-21T05:08:35.000Z",3931,5,24
75,"2024-08-21T05:46:53.000Z",3931,"2024-08-21T05:46:53.000Z",3931,14,10
76,"2024-08-21T07:54:49.000Z",3888,"2024-08-21T07:54:49.000Z",3888,3,49
77,"2024-08-21T08:01:38.000Z",3888,"2024-08-21T08:01:38.000Z",3888,4,49
78,"2024-08-21T11:08:03.000Z",3888,"2024-08-21T11:08:03.000Z",3888,3,49
80,"2024-08-21T12:29:50.000Z",3888,"2024-08-21T12:29:50.000Z",3888,"",49
84,"2024-08-22T11:41:11.000Z",3931,"2024-08-22T11:41:11.000Z",3931,15,66
85,"2024-08-22T11:41:13.000Z",3931,"2024-08-22T11:41:13.000Z",3931,15,65
86,"2024-08-22T11:41:13.000Z",3931,"2024-08-22T11:41:13.000Z",3931,15,62
87,"2024-08-22T11:41:14.000Z",3931,"2024-08-22T11:41:14.000Z",3931,15,64
88,"2024-08-22T11:41:14.000Z",3931,"2024-08-22T11:41:14.000Z",3931,15,63
90,"2024-08-22T11:44:46.000Z",3888,"2024-08-22T11:44:46.000Z",3888,11,49
91,"2024-08-22T15:17:00.000Z",3888,"2024-08-22T15:17:00.000Z",3888,11,49
92,"2024-08-22T15:18:00.000Z",3888,"2024-08-22T15:18:00.000Z",3888,11,49
93,"2024-08-22T15:20:36.000Z",3888,"2024-08-22T15:20:36.000Z",3888,11,49
94,"2024-08-23T10:45:52.000Z",3931,"2024-08-23T10:45:52.000Z",3931,15,67
95,"2024-08-23T10:45:53.000Z",3931,"2024-08-23T10:45:53.000Z",3931,15,68
96,"2024-08-23T10:45:54.000Z",3931,"2024-08-23T10:45:54.000Z",3931,15,69
97,"2024-08-23T10:45:54.000Z",3931,"2024-08-23T10:45:54.000Z",3931,15,70
103,"2024-08-26T10:42:08.000Z",3931,"2024-08-26T10:42:08.000Z",3931,17,71
104,"2024-08-26T10:42:09.000Z",3931,"2024-08-26T10:42:09.000Z",3931,17,72
105,"2024-08-26T10:42:10.000Z",3931,"2024-08-26T10:42:10.000Z",3931,17,73
106,"2024-08-26T10:42:10.000Z",3931,"2024-08-26T10:42:10.000Z",3931,17,74
107,"2024-08-26T10:42:12.000Z",3931,"2024-08-26T10:42:12.000Z",3931,17,75
108,"2024-08-26T11:34:51.000Z",3930,"2024-08-26T11:34:51.000Z",3930,18,76
109,"2024-08-26T11:34:51.000Z",3930,"2024-08-26T11:34:51.000Z",3930,18,77
110,"2024-08-26T11:58:13.000Z",3930,"2024-08-26T11:58:13.000Z",3930,19,78
111,"2024-08-26T11:58:14.000Z",3930,"2024-08-26T11:58:14.000Z",3930,19,79
112,"2024-08-26T12:12:59.000Z",3931,"2024-08-26T12:12:59.000Z",3931,20,80
113,"2024-08-26T12:13:01.000Z",3931,"2024-08-26T12:13:01.000Z",3931,20,81
114,"2024-08-27T05:46:40.000Z",3931,"2024-08-27T05:46:40.000Z",3931,21,82
115,"2024-08-27T05:46:41.000Z",3931,"2024-08-27T05:46:41.000Z",3931,21,83
116,"2024-08-27T05:46:41.000Z",3931,"2024-08-27T05:46:41.000Z",3931,21,84
117,"2024-08-27T06:11:30.000Z",3931,"2024-08-27T06:11:30.000Z",3931,22,19
118,"2024-08-27T06:11:52.000Z",3931,"2024-08-27T06:11:52.000Z",3931,22,21
119,"2024-08-29T05:49:18.000Z",3931,"2024-08-29T05:49:18.000Z",3931,25,85
120,"2024-08-29T05:49:19.000Z",3931,"2024-08-29T05:49:19.000Z",3931,25,86
121,"2024-08-29T05:56:02.000Z",3930,"2024-08-29T05:56:02.000Z",3930,26,88
122,"2024-08-29T05:56:04.000Z",3930,"2024-08-29T05:56:04.000Z",3930,26,89
123,"2024-08-29T06:21:42.000Z",3931,"2024-08-29T06:21:42.000Z",3931,27,87
124,"2024-08-29T06:21:43.000Z",3931,"2024-08-29T06:21:43.000Z",3931,27,90
125,"2024-08-29T06:40:39.000Z",3931,"2024-08-29T06:40:39.000Z",3931,28,91
126,"2024-08-29T06:40:39.000Z",3931,"2024-08-29T06:40:39.000Z",3931,28,92
127,"2024-08-29T06:56:21.000Z",3931,"2024-08-29T06:56:21.000Z",3931,29,91
128,"2024-08-29T06:56:21.000Z",3931,"2024-08-29T06:56:21.000Z",3931,29,92
129,"2024-08-29T09:50:58.000Z",3888,"2024-08-29T09:50:58.000Z",3888,11,49
130,"2024-08-29T09:55:51.000Z",3931,"2024-08-29T09:55:51.000Z",3931,30,91
131,"2024-08-29T09:55:52.000Z",3931,"2024-08-29T09:55:52.000Z",3931,30,92
132,"2024-08-29T09:59:33.000Z",3931,"2024-08-29T09:59:33.000Z",3931,31,91
133,"2024-08-29T09:59:34.000Z",3931,"2024-08-29T09:59:34.000Z",3931,31,92
134,"2024-08-29T10:16:31.000Z",3931,"2024-08-29T10:16:31.000Z",3931,32,91
135,"2024-08-29T10:16:32.000Z",3931,"2024-08-29T10:16:32.000Z",3931,32,92
136,"2024-08-29T10:20:14.000Z",3931,"2024-08-29T10:20:14.000Z",3931,33,93
137,"2024-08-29T10:20:16.000Z",3931,"2024-08-29T10:20:16.000Z",3931,33,94
138,"2024-08-29T10:32:29.000Z",3931,"2024-08-29T10:32:29.000Z",3931,34,93
139,"2024-08-29T10:32:30.000Z",3931,"2024-08-29T10:32:30.000Z",3931,34,94
140,"2024-08-29T10:42:33.000Z",3931,"2024-08-29T10:42:33.000Z",3931,35,93
141,"2024-08-29T10:42:34.000Z",3931,"2024-08-29T10:42:34.000Z",3931,35,94
142,"2024-08-29T10:47:13.000Z",3931,"2024-08-29T10:47:13.000Z",3931,36,93
143,"2024-08-29T10:47:14.000Z",3931,"2024-08-29T10:47:14.000Z",3931,36,94
144,"2024-08-29T11:42:34.000Z",3888,"2024-08-29T11:42:34.000Z",3888,37,49
145,"2024-08-29T11:50:01.000Z",3888,"2024-08-29T11:50:01.000Z",3888,38,49
146,"2024-08-29T11:54:51.000Z",3888,"2024-08-29T11:54:51.000Z",3888,39,49
147,"2024-08-29T11:56:23.000Z",3888,"2024-08-29T11:56:23.000Z",3888,40,49
148,"2024-08-29T12:00:05.000Z",3888,"2024-08-29T12:00:05.000Z",3888,41,49
149,"2024-08-29T12:03:30.000Z",3888,"2024-08-29T12:03:30.000Z",3888,42,49
150,"2024-08-29T12:06:54.000Z",3888,"2024-08-29T12:06:54.000Z",3888,43,49
151,"2024-08-29T14:05:52.000Z",3888,"2024-08-29T14:05:52.000Z",3888,44,49
152,"2024-08-29T14:17:16.000Z",3888,"2024-08-29T14:17:16.000Z",3888,45,49
153,"2024-08-29T14:22:02.000Z",3888,"2024-08-29T14:22:02.000Z",3888,46,49
154,"2024-08-30T04:25:02.000Z",3931,"2024-08-30T04:25:02.000Z",3931,47,93
155,"2024-08-30T04:25:03.000Z",3931,"2024-08-30T04:25:03.000Z",3931,47,94
156,"2024-08-30T04:30:25.000Z",3931,"2024-08-30T04:30:25.000Z",3931,48,95
157,"2024-08-30T04:30:27.000Z",3931,"2024-08-30T04:30:27.000Z",3931,48,96
158,"2024-08-30T04:35:00.000Z",3930,"2024-08-30T04:35:00.000Z",3930,49,97
159,"2024-08-30T04:35:03.000Z",3930,"2024-08-30T04:35:03.000Z",3930,49,98
160,"2024-08-30T05:52:35.000Z",3931,"2024-08-30T05:52:35.000Z",3931,50,99
161,"2024-08-30T05:52:37.000Z",3931,"2024-08-30T05:52:37.000Z",3931,50,100
164,"2024-08-30T06:12:36.000Z",3931,"2024-08-30T06:12:36.000Z",3931,50,101
165,"2024-08-30T06:12:37.000Z",3931,"2024-08-30T06:12:37.000Z",3931,50,102
166,"2024-08-30T12:20:15.000Z",3931,"2024-08-30T12:20:15.000Z",3931,51,103
167,"2024-08-30T12:20:16.000Z",3931,"2024-08-30T12:20:16.000Z",3931,51,104
168,"2024-09-02T10:05:02.000Z",3931,"2024-09-02T10:05:02.000Z",3931,52,99
169,"2024-09-02T10:05:04.000Z",3931,"2024-09-02T10:05:04.000Z",3931,52,100